"STRUCTURE_NUMBER_008","COUNTY_CODE_003_L","ROUTE_PREFIX_005B_L","MAINTENANCE_021_L","YEAR_BUILT_027","ADT_029","STRUCTURE_KIND_043A_L","STRUCTURAL_EVAL_067","BRIDGE_IMP_COST_094"
"W36028AF6MUNNBI","Hampshire","City street","Town or Township Highway Agency",1999,129,"Prestressed concrete",7,802000
"W36029BGKMUNNBI","Hampshire","City street","Town or Township Highway Agency",2007,129,"Steel",7,1232000
"W4500109AMUNNBI","Hampshire","City street","Town or Township Highway Agency",1939,129,"Steel",6,459000
"W45006ABMDOTNBI","Hampshire","State highway","State Highway Agency",2012,300,"Prestressed concrete",7,510000
"W45007B5XMUNNBI","Hampshire","City street","Town or Township Highway Agency",2008,129,"Steel",7,763000
"W450100CTDOTNBI","Hampshire","State highway","State Highway Agency",1924,550,"Prestressed concrete",7,348000
"W4501109DMUNNBI","Hampshire","City street","Town or Township Highway Agency",1938,129,"Steel",6,350000
"W4501209EMUNNBI","Hampshire","City street","Town or Township Highway Agency",1957,129,"Steel",6,615000
"W4501309FMUNNBI","Hampshire","City street","Town or Township Highway Agency",1954,129,"Steel",4,1269000
"W450140CQDOTNBI","Hampshire","State highway","State Highway Agency",1970,1500,"Prestressed concrete",7,0
"W450150CRDOTNBI","Hampshire","State highway","State Highway Agency",1917,1500,"Concrete",5,428000
"W4502009GMUNNBI","Hampshire","City street","Town or Township Highway Agency",1985,259,"Concrete",7,316000
"W45023C30MUNNBI","Hampshire","City street","Town or Township Highway Agency",2019,129,"Concrete",8,0
"W4502409JMUNNBI","Hampshire","City street","Town or Township Highway Agency",1939,776,"Steel",7,748000
"W45027BTVMUNNBI","Hampshire","City street","Town or Township Highway Agency",2016,129,"Concrete",8,0
"W4502809BMUNNBI","Hampshire","City street","Town or Township Highway Agency",1950,300,"Concrete",6,444000
